,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
414,20.7,-3.45012,-5.15029,
415,20.75,-3.45826,-5.16112,
416,20.8,-3.46679,-5.15898,
417,20.85,-3.47506,-5.17811,
418,20.9,-3.48306,-5.17344,
419,20.95,-3.49159,-5.18571,
420,21.0,-3.49999,-5.19273,
421,21.05,-3.50812,-5.19734,
422,21.1,-3.51652,-5.20359,
423,21.15,-3.52519,-5.21466,
424,21.2,-3.53346,-5.22002,
425,21.25,-3.54159,-5.22818,
426,21.3,-3.55026,-5.23136,
427,21.35,-3.55839,-5.24533,
428,21.4,-3.56666,-5.24388,
429,21.45,-3.57492,-5.25452,
430,21.5,-3.58332,-5.25927,
431,21.55,-3.59159,-5.26834,
432,21.6,-3.59986,-5.27008,
433,21.65,-3.60812,-5.28123,
434,21.7,-3.61652,-5.28517,
435,21.75,-3.62492,-5.28849,
436,21.8,-3.63306,-5.30295,
437,21.85,-3.64146,-5.3014,
438,21.9,-3.64999,-5.31266,
439,21.95,-3.65826,-5.31734,
440,22.0,-3.66652,-5.32577,
441,22.05,-3.67519,-5.32943,
442,22.1,-3.68332,-5.33942,
443,22.15,-3.69159,-5.34061,
444,22.2,-3.70012,-5.35366,
445,22.25,-3.70852,-5.35086,
446,22.3,-3.71652,-5.36895,
447,22.35,-3.72479,-5.36065,
448,22.4,-3.73332,-5.37965,
449,22.45,-3.74146,-5.37445,
450,22.5,-3.74972,-5.38953,
451,22.55,-3.75826,-5.39033,
452,22.6,-3.76652,-5.39725,
453,22.65,-3.77479,-5.4043,
454,22.7,-3.78319,-5.41111,
455,22.75,-3.79159,-5.41622,
456,22.8,-3.79999,-5.42342,
457,22.85,-3.80826,-5.43341,
458,22.9,-3.81652,-5.42786,
459,22.95,-3.82506,-5.45208,
460,23.0,-3.83346,-5.43648,
461,23.05,-3.84159,-5.46684,
462,23.1,-3.84999,-5.44786,
463,23.15,-3.85839,-5.47462,
464,23.2,-3.86639,-5.46505,
465,23.25,-3.87492,-5.48474,
466,23.3,-3.88346,-5.4739,
467,23.35,-3.89146,-5.50004,
468,23.4,-3.89972,-5.4861,
469,23.45,-3.90839,-5.50955,
470,23.5,-3.91666,-5.50003,
471,23.55,-3.92492,-5.52123,
472,23.6,-3.93346,-5.51382,
473,23.65,-3.94172,-5.52975,
474,23.7,-3.94999,-5.53096,
475,23.75,-3.95839,-5.53859,
476,23.8,-3.96666,-5.54228,
477,23.85,-3.97506,-5.55329,
478,23.9,-3.98346,-5.55228,
479,23.95,-3.99159,-5.56665,
480,24.0,-4.00012,-5.55987,
481,24.05,-4.00839,-5.58212,
482,24.1,-4.01639,-5.57079,
483,24.15,-4.02492,-5.58827,
484,24.2,-4.03332,-5.59152,
485,24.25,-4.04132,-5.59502,
486,24.3,-4.04986,-5.60286,
487,24.35,-4.05852,-5.61163,
488,24.4,-4.06666,-5.60959,
489,24.45,-4.07492,-5.6262,
490,24.5,-4.08346,-5.62029,
491,24.55,-4.09172,-5.63647,
492,24.6,-4.09999,-5.63192,
493,24.65,-4.10839,-5.64601,
494,24.7,-4.11666,-5.64414,
495,24.75,-4.12492,-5.65649,
496,24.8,-4.13332,-5.65503,
497,24.85,-4.14146,-5.66737,
498,24.9,-4.14999,-5.66358,
499,24.95,-4.15826,-5.68231,
500,25.0,-4.16639,-5.67281,
501,25.05,-4.17479,-5.69301,
502,25.1,-4.18332,-5.68232,
503,25.15,-4.19159,-5.70555,
504,25.2,-4.19986,-5.69413,
505,25.25,-4.20839,-5.71554,
506,25.3,-4.21666,-5.70708,
507,25.35,-4.22479,-5.72355,
508,25.4,-4.23332,-5.71862,
509,25.45,-4.24172,-5.73336,
510,25.5,-4.24986,-5.72893,
511,25.55,-4.25812,-5.74224,
512,25.6,-4.26666,-5.73841,
513,25.65,-4.27479,-5.7535,
514,25.7,-4.28306,-5.74525,
515,25.75,-4.29159,-5.76472,
516,25.8,-4.29986,-5.75558,
517,25.85,-4.30812,-5.77438,
518,25.9,-4.31652,-5.76642,
519,25.95,-4.32492,-5.78395,
520,26.0,-4.33332,-5.77629,
521,26.05,-4.34172,-5.79555,
522,26.1,-4.34999,-5.78623,
523,26.15,-4.35839,-5.80581,
524,26.2,-4.36679,-5.79371,
525,26.25,-4.37492,-5.81935,
526,26.3,-4.38332,-5.8013,
527,26.35,-4.39172,-5.82576,
528,26.4,-4.39972,-5.81756,
529,26.45,-4.40812,-5.82872,
530,26.5,-4.41666,-5.82885,
531,26.55,-4.42479,-5.8396,
532,26.6,-4.43292,-5.83812,
533,26.65,-4.44159,-5.84913,
534,26.7,-4.44986,-5.85021,
535,26.75,-4.45812,-5.86068,
536,26.8,-4.46666,-5.86075,
537,26.85,-4.47506,-5.8709,
538,26.9,-4.48346,-5.87393,
539,26.95,-4.49186,-5.88251,
540,27.0,-4.50012,-5.88461,
541,27.05,-4.50852,-5.89142,
542,27.1,-4.51679,-5.89703,
543,27.15,-4.52479,-5.89996,
544,27.2,-4.53346,-5.90644,
545,27.25,-4.54186,-5.91278,
546,27.3,-4.54986,-5.91576,
547,27.35,-4.55826,-5.92418,
548,27.4,-4.56679,-5.92459,
549,27.45,-4.57492,-5.93384,
550,27.5,-4.58332,-5.9354,
551,27.55,-4.59172,-5.94187,
552,27.6,-4.59999,-5.94764,
553,27.65,-4.60826,-5.95242,
554,27.7,-4.61692,-5.95732,
555,27.75,-4.62519,-5.96295,
556,27.8,-4.63332,-5.96757,
557,27.85,-4.64186,-5.97174,
558,27.9,-4.65012,-5.97952,
559,27.95,-4.65826,-5.97933,
560,28.0,-4.66666,-5.98853,
561,28.05,-4.67479,-5.9907,
562,28.1,-4.68319,-5.99599,
563,28.15,-4.69146,-6.00131,
564,28.2,-4.69972,-6.00843,
565,28.25,-4.70812,-6.01038,
566,28.3,-4.71666,-6.01873,
567,28.35,-4.72492,-6.02082,
568,28.4,-4.73332,-6.02891,
569,28.45,-4.74172,-6.03062,
570,28.5,-4.74999,-6.03663,
571,28.55,-4.75826,-6.04174,
572,28.6,-4.76679,-6.04546,
573,28.65,-4.77506,-6.0519,
574,28.7,-4.78319,-6.05478,
575,28.75,-4.79145,-6.06032,
576,28.8,-4.79999,-6.06499,
577,28.85,-4.80812,-6.07048,
578,28.9,-4.81639,-6.0733,
579,28.95,-4.82492,-6.07975,
580,29.0,-4.83319,-6.08359,
581,29.05,-4.84132,-6.08927,
582,29.1,-4.84985,-6.09328,
583,29.15,-4.85839,-6.09942,
584,29.2,-4.86679,-6.10484,
585,29.25,-4.87506,-6.10962,
586,29.3,-4.88332,-6.11506,
587,29.35,-4.89185,-6.12002,
588,29.4,-4.90012,-6.12666,
589,29.45,-4.90825,-6.1276,
590,29.5,-4.91679,-6.13638,
591,29.55,-4.92505,-6.13964,
592,29.6,-4.93319,-6.1448,
593,29.65,-4.94145,-6.14773,
594,29.7,-4.94999,-6.15487,
595,29.75,-4.95812,-6.15801,
596,29.8,-4.96639,-6.16474,
597,29.85,-4.97492,-6.16881,
598,29.9,-4.98305,-6.17318,
599,29.95,-4.99145,-6.18073,
600,30.0,-4.99999,-6.18399,
601,30.05,-5.00852,-6.19093,
602,30.1,-5.01679,-6.19494,
603,30.15,-5.02519,-6.20183,
604,30.2,-5.03332,-6.20307,
605,30.25,-5.04172,-6.20997,
606,30.3,-5.05012,-6.2142,
607,30.35,-5.05812,-6.22014,
608,30.4,-5.06665,-6.22224,
609,30.45,-5.07492,-6.23,
610,30.5,-5.08292,-6.23215,
611,30.55,-5.09145,-6.23851,
612,30.6,-5.09999,-6.24276,
613,30.65,-5.10812,-6.24722,
614,30.7,-5.11652,-6.25504,
615,30.75,-5.12519,-6.25681,
616,30.8,-5.13319,-6.26291,
617,30.85,-5.14145,-6.26727,
618,30.9,-5.15012,-6.27326,
619,30.95,-5.15852,-6.27595,
620,31.0,-5.16665,-6.2818,
621,31.05,-5.17505,-6.28539,
622,31.1,-5.18332,-6.28937,
623,31.15,-5.19145,-6.29346,
