Time	Sample     	Program Temperature	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static Displacement	Static Displacement Corrected	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage Modulus	Loss Modulus	Tan Delta	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
          	Temperature		          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     		          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
2.507443	100.2	99.014885	1.000001	171	2174	595733	111248.25	40952085.25	38956.25	40811.375	0.000045	606031.336168	0.186742	0.173595	0.171882	14790.196065	14605.929688	12257.084	1.863819	12258.947819	0.839206	2541.736877	2540.345132	0.66215	0.990202	0.011136	0.139665	0.001862	268551.269359	3020.1242	0.023956	0.000319	0.3741	0.029637	101459.080062	0.005083	19383181.216982	4016655.488998	0.207224	639270.069364	3084926.65976	3150466.428592	7178956.006289	1487650.18111	19794980.055753	7331474.094723
2.637183	100.3	99.274366	1.000001	171	2174	596225.375	110848.625	40951979.625	38945.875	40811.375	0.000045	606442.178166	0.185917	0.172774	0.171085	14780.176258	14598.04074	12249.193397	1.863819	12251.057215	0.839119	2528.348838	2526.957091	0.66215	0.99021	0.011144	0.139668	0.001859	268553.460368	3022.315209	0.023957	0.000319	0.374061	0.029661	101448.562193	0.005088	19370705.024229	3995487.047662	0.206264	635901.009957	3082941.013586	3147839.797022	7174335.194159	1479810.017653	19778476.42979	7325361.640663
2.766923	100.4	99.533845	1.000001	171	2174	596601.25	110853.75	40951611	38945.125	40815.125	0.000045	606812.660869	0.185809	0.172666	0.17098	14771.152386	14589.373782	12240.52066	1.863819	12242.384479	0.839023	2525.263624	2523.871874	0.66215	0.990239	0.011172	0.13968	0.001847	268561.106892	3029.961732	0.023959	0.000317	0.374018	0.02968	101436.961131	0.005091	19356992.165094	3990608.869918	0.206159	635124.624471	3080758.546	3145545.502351	7169256.357442	1478003.285155	19764060.939802	7320022.570297
2.896143	100.6	99.792286	1.000001	171	2174	596759.25	110316.25	40950895.75	38941.875	40815.75	0.000045	606870.066385	0.184859	0.17172	0.170062	14769.755142	14590.314243	12241.449909	1.863819	12243.313727	0.839033	2511.594737	2510.202981	0.66215	0.990293	0.011227	0.139703	0.001825	268575.943727	3044.798567	0.023963	0.000313	0.374023	0.029687	101438.122547	0.005092	19358461.442268	3968996.35973	0.205026	631684.889367	3080992.388539	3145081.858663	7169800.534173	1469998.651752	19761147.778287	7318943.621588
3.030563	100.7	100.061126	1.000001	171	2174	597284.5	110348.5	40950437	38945.5	40817.25	0.000045	607392.431129	0.18475	0.171612	0.169957	14757.052977	14578.002066	12229.130539	1.863819	12230.994357	0.838896	2507.890482	2506.498721	0.66215	0.990328	0.011262	0.139717	0.00181	268585.459936	3054.314776	0.023965	0.00031	0.373962	0.029713	101421.628973	0.005097	19338982.7247	3963139.38536	0.20493	630752.723683	3077892.256809	3141857.689801	7162586.194333	1467829.401985	19740889.711815	7311440.634006
3.159263	100.9	100.318527	1.000001	171	2174	597697.5	110085	40950127.5	38945.625	40814.75	0.000045	607750.77847	0.184182	0.171046	0.169407	14748.351794	14570.769009	12221.89263	1.863819	12223.756448	0.838816	2498.375484	2496.98372	0.66215	0.990352	0.011286	0.139727	0.0018	268591.880179	3060.73502	0.023967	0.000309	0.373926	0.029734	101411.921264	0.0051	19327538.536728	3948094.784022	0.204273	628358.30291	3076070.859167	3139593.299689	7158347.606196	1462257.327416	19726662.117863	7306171.154764
3.287703	101.1	100.575407	1.000001	171	2174	597767.125	109809.125	40949271.375	38940.125	40811.375	0.000045	607769.347421	0.183699	0.170566	0.16894	14747.901193	14571.49385	12222.604045	1.863819	12224.467864	0.838823	2491.476196	2490.084425	0.66215	0.990417	0.011351	0.139754	0.001773	268609.639751	3078.494591	0.023972	0.000304	0.373929	0.029737	101412.779125	0.005101	19328663.388022	3937185.993893	0.203697	626622.116413	3076249.884668	3139421.703069	7158764.217786	1458217.034775	19725583.94365	7305771.830981
3.416403	101.2625	100.832807	1.000001	171	2174	598259.875	109587.375	40948239.625	38940.875	40814.5	0.000045	608214.000821	0.183177	0.170046	0.168435	14737.11929	14562.077644	12213.171659	1.863819	12215.035477	0.838718	2482.276053	2480.884271	0.66215	0.990496	0.01143	0.139787	0.001741	268631.042867	3099.897708	0.023977	0.000299	0.373882	0.029761	101400.0462	0.005105	19313749.412095	3922639.211766	0.203101	624306.925965	3073876.253559	3136634.240711	7153240.522998	1452829.337691	19708069.787244	7299285.106387
3.550824	101.475	101.101648	1.000001	171	2174	598369	109405.5	40947584.5	38942	40810.125	0.000045	608288.60222	0.18284	0.16971	0.168108	14735.311908	14561.100855	12212.184594	1.863819	12214.048412	0.838706	2477.206243	2475.814456	0.66215	0.990546	0.01148	0.139807	0.00172	268644.633296	3113.488137	0.023981	0.000295	0.373877	0.029767	101398.653035	0.005106	19312188.718757	3914623.09571	0.202702	623031.122481	3073627.861696	3136137.116227	7152662.488428	1449860.405818	19704946.259514	7298128.244264
3.680044	101.65	101.360088	1.000001	171	2174	598538.25	109232.5	40946051	38941.25	40808.125	0.000045	608424.009856	0.182499	0.169371	0.167779	14732.032495	14558.672466	12209.732146	1.863819	12211.595965	0.838678	2471.840845	2470.449043	0.66215	0.990664	0.011597	0.139856	0.001671	268676.446043	3145.300884	0.023989	0.000287	0.373864	0.029775	101395.20105	0.005107	19308311.042175	3906139.597203	0.202304	621680.932828	3073010.710789	3135264.264917	7151226.311917	1446718.369334	19699461.968648	7296097.025425
