Time,Sample     ,Program Temperature,Frequency     ,Raw Dynamic,Raw Static,In-Phase     ,Out-Of-Phase,Zero Displacement,Min Displacement,Max Displacement,Spring     ,C*     ,Measured     ,Corrected     ,Corrected     ,Stiffness*,Total     ,Stiffness     ,Inertia     ,Sample     ,Ratio of     ,Total     ,Sample     ,Total Applied,Static Force,Static     ,Static     ,Static     ,Static Stress,Static     ,Static Strain,Static     ,Dynamic Force,Displacement,Dynamic     ,Dynamic     ,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage     ,Complex     ,Shear Storage Modulus,Shear Loss Modulus,Complex     ,Shear Complex 
          ,Temperature,Temperature,          ,Force     ,Force     ,Angle     ,Angle     ,               ,               ,               ,Stiffness     ,          ,Tan Delta     ,Total Tan Delta,Total Delta,          ,Stiffness',Less Spring,          ,Stiffness',Sample to Total,Stiffness'',Stiffness'',Static Force,          ,Force Corrected,Displacement,Displacement Co,          ,Stress Correcte,          ,Strain Correcte,          ,Amplitude     ,Stress     ,Strain     ,Modulus     ,          ,          ,               ,Viscosity     ,Viscosity     ,Modulus     ,Modulus     ,Modulus     ,Modulus      
4.109564,258.5125,258.219129,1.000001,31,2069,592033.125,27483.875,41967111.375,40053.75,41918.25,0.000045,592670.721803,0.046423,0.033669,0.033656,2741.707513,2741.378884,407.113777,1.863819,408.977596,0.149085,92.340039,90.956933,0.114703,0.365775,0.003906,0.107559,0.006034,112528.860596,1201.710435,0.019037,0.001068,0.012048,0.029457,3706.548937,0.005214,710882.454249,158100.806187,0.222401,25162.504879,113140.366925,115904.677558,263289.79787,58555.854143,728251.143958,269722.64591
4.242165,258.775,258.48433,1.000001,31,2069,592168,27334.25,41965956.5,40040.25,41917.375,0.000045,592798.533607,0.04616,0.033406,0.033393,2741.11638,2740.811736,406.531563,1.863819,408.395382,0.148904,91.599827,90.216712,0.114703,0.365862,0.003993,0.107596,0.006071,112555.591957,1228.441795,0.019044,0.001075,0.012033,0.029464,3702.037725,0.005215,709870.453211,156814.158045,0.220905,24957.728629,112979.302085,115703.11542,262914.982671,58079.317794,726984.690696,269253.589147
4.371906,259.075,258.743812,1.000001,31,2069,591654,27102.25,41964545,40049,41917.125,0.000045,592274.419227,0.045808,0.033054,0.033042,2743.542044,2743.270279,408.971688,1.863819,410.835506,0.14966,90.716885,89.333759,0.114703,0.365968,0.004099,0.10764,0.006116,112588.263916,1261.113754,0.019051,0.001082,0.012095,0.029438,3720.821696,0.00521,714111.862587,155279.414104,0.217444,24713.466738,113654.342818,116310.210556,264485.875032,57510.894113,730799.184955,270666.364798
4.503985,259.2625,259.00797,1.000001,31,2069,593520,27333.25,41961127,40044.375,41916.75,0.000045,594149.05281,0.046053,0.033299,0.033287,2734.885738,2734.588746,400.245531,1.863819,402.10935,0.146945,91.099776,89.716624,0.114703,0.366225,0.004356,0.107749,0.006224,112667.383097,1340.232936,0.019071,0.001102,0.011875,0.029531,3653.345115,0.005227,698944.108527,155944.90862,0.223115,24819.383396,111240.321696,113975.484045,258868.188343,57757.373563,716129.654022,265233.205193
4.633205,259.5625,259.266411,1.000001,31,2069,593440,27389,41959291.5,40038.625,41909.125,0.000045,594071.705201,0.046153,0.033399,0.033387,2735.241818,2734.935818,400.568627,1.863819,402.432446,0.147045,91.385099,90.001932,0.114703,0.366363,0.004495,0.107807,0.006282,112709.872529,1382.722367,0.019081,0.001112,0.011883,0.029527,3655.816913,0.005226,699505.712566,156440.829635,0.223645,24898.311614,111329.703685,114079.923053,259076.189839,57941.048013,716785.864181,265476.245993
4.763206,259.75,259.526412,1.000001,31,2069,590641.25,28755.5,41958468.75,40015.375,41907,0.000045,591340.819648,0.048685,0.035929,0.035913,2747.873505,2747.330797,412.952856,1.863819,414.816675,0.150887,98.752326,97.369153,0.114703,0.366425,0.004556,0.107833,0.006308,112728.918492,1401.76833,0.019085,0.001116,0.012194,0.029389,3751.329171,0.005202,721031.906533,169246.490387,0.234728,26936.394208,114755.701146,117874.680396,267048.854271,62683.885328,740629.046653,274307.054316
4.892426,260.0625,259.784851,1.000001,31,2069,590053.375,27838.125,41957168.625,40046.875,41909.5,0.000045,590709.697358,0.047179,0.034424,0.03441,2750.80937,2750.412983,416.018051,1.863819,417.881869,0.151831,94.722937,93.339754,0.114703,0.366523,0.004654,0.107874,0.006349,112759.015751,1431.865589,0.019093,0.001124,0.01227,0.029359,3774.816742,0.005196,726359.809997,162242.612192,0.223364,25821.693255,115603.662647,118452.381403,269022.151851,60089.856367,744258.852007,275651.426669
5.021386,260.3875,260.042771,1.000001,31,2069,589833.375,28213.875,41955931.625,40039.5,41907.25,0.000045,590507.775568,0.047834,0.035078,0.035064,2751.749999,2751.291363,416.880261,1.863819,418.74408,0.152096,96.553236,95.170044,0.114703,0.366616,0.004747,0.107913,0.006388,112787.652233,1460.502071,0.0191,0.001131,0.012291,0.029348,3781.39845,0.005194,727858.498478,165424.010393,0.227275,26328.028104,115842.186138,118796.368434,269577.221658,61268.151997,746420.187978,276451.921473
5.150346,260.6625,260.300692,1.000001,31,2069,588613.625,28084.375,41954623.625,40051.25,41903.875,0.000045,589283.235511,0.047713,0.034957,0.034943,2757.46818,2757.022819,422.594614,1.863819,424.458433,0.153851,96.421382,95.038179,0.114703,0.366715,0.004846,0.107954,0.006429,112817.932929,1490.782767,0.019107,0.001138,0.012433,0.029287,3825.038086,0.005184,737791.154073,165194.804052,0.223905,26291.548811,117423.016122,120330.42115,273255.98299,61183.26076,756058.933096,280021.827072
5.279306,260.8625,260.558612,1.000001,31,2069,588279.875,27868.625,41953388.375,40044.25,41896.25,0.000045,588939.616251,0.047373,0.034618,0.034604,2759.077036,2758.664706,424.220347,1.863819,426.084165,0.154349,95.54233,94.159118,0.114703,0.366808,0.004939,0.107993,0.006468,112846.529972,1519.37981,0.019114,0.001145,0.012473,0.029271,3837.404749,0.005181,740616.992395,163666.824909,0.220987,26048.36357,117872.761903,120716.632008,274302.589776,60617.342559,758485.569408,280920.581262
5.413726,261.1625,260.827453,1.000001,31,2069,591780.875,27333.875,41952114.375,40041.875,41906.75,0.000045,592411.803341,0.046189,0.033435,0.033423,2742.905799,2742.599048,408.138022,1.863819,410.00184,0.149392,91.740619,90.357397,0.114703,0.366904,0.005035,0.108034,0.006509,112876.024654,1548.874493,0.019121,0.001152,0.012073,0.029444,3714.179599,0.005211,712662.789592,157058.696214,0.220383,24996.648057,113423.715871,116145.476606,263949.18133,58169.887487,729764.1302,270283.011185
5.542946,261.425,261.085893,1.000001,31,2069,592447.125,27694.125,41947998.625,40033.625,41901.375,0.000045,593094.057027,0.046745,0.033991,0.033978,2739.750553,2739.391427,404.876531,1.863819,406.740349,0.148377,93.155856,91.772601,0.114703,0.367213,0.005344,0.108164,0.006639,112971.313171,1644.163009,0.019144,0.001175,0.011991,0.029478,3688.945461,0.005217,706993.684969,159518.596603,0.225629,25388.153053,112521.450562,115350.054842,261849.512951,59080.961705,724766.343899,268431.979222
5.675807,261.625,261.351613,1.000001,31,2069,593503.375,27188.625,41946943.125,40035.75,41906.5,0.000045,594125.809459,0.04581,0.033057,0.033045,2734.992732,2734.717752,400.189032,1.863819,402.052851,0.146918,90.441578,89.058316,0.114703,0.367293,0.005424,0.108197,0.006672,112995.751212,1668.601051,0.01915,0.001181,0.011873,0.02953,3652.6596,0.005227,698845.902769,154800.641561,0.221509,24637.267782,111224.691777,113920.704987,258831.81584,57333.570949,715785.466774,265105.728435
5.807887,261.85,261.615774,1.000001,31,2069,593334.625,27601.625,41945466.625,40039.125,41899.125,0.000045,593976.284818,0.046519,0.033765,0.033752,2735.681225,2735.341728,400.793668,1.863819,402.657487,0.147105,92.400743,91.01747,0.114703,0.367404,0.005535,0.108244,0.006719,113029.937327,1702.787165,0.019158,0.001189,0.011888,0.029522,3657.318816,0.005225,699896.877789,158206.030668,0.226042,25179.251862,111391.959514,114202.291434,259221.065848,58594.826173,717554.728003,265761.010371
5.938407,262.1,261.876814,1.000001,31,2069,591912,28105.75,41945149,40030.875,41890.875,0.000045,592578.896795,0.047483,0.034728,0.034714,2742.132363,2741.704558,407.152337,1.863819,409.016155,0.149082,95.255852,93.872576,0.114703,0.367428,0.005559,0.108254,0.006729,113037.291548,1710.141387,0.01916,0.001191,0.012048,0.029451,3706.458371,0.005213,710949.47755,163168.759672,0.229508,25969.094088,113151.034006,116092.852254,263314.621315,60432.873953,729433.481382,270160.54866
6.066847,262.3375,262.133694,1.000001,31,2069,591434.125,28261.625,41942737.875,40021.375,41890.75,0.000045,592108.979549,0.047785,0.035029,0.035015,2744.30861,2743.85257,409.268751,1.863819,411.13257,0.149736,96.158441,94.775146,0.114703,0.367609,0.00574,0.10833,0.006805,113093.119351,1765.969189,0.019173,0.001204,0.012101,0.029428,3722.722464,0.005208,714628.217003,164737.601908,0.230522,26218.782887,113736.523111,116719.412548,264677.117408,61013.926633,733370.278931,271618.621826
6.196847,262.65,262.393695,1.000001,31,2069,590193.375,28071.125,41941787.125,40026.25,41889.625,0.000045,590860.565576,0.047563,0.034807,0.034793,2750.106989,2749.673909,415.077626,1.863819,416.941444,0.15153,95.751606,94.368304,0.114703,0.367681,0.005812,0.10836,0.006835,113115.133805,1787.983644,0.019179,0.00121,0.012246,0.029366,3767.333327,0.005197,724725.16828,164030.430923,0.226335,26106.233218,115343.501544,118260.977339,268416.728992,60752.011453,743056.223853,275206.008834
6.328928,262.9,262.657855,1.000001,31,2069,588612.625,28703.375,41940021.375,40025.75,41889.5,0.000045,589312.061684,0.048764,0.036008,0.035992,2757.333298,2756.785121,422.165684,1.863819,424.029503,0.153709,99.310612,97.927296,0.114703,0.367814,0.005945,0.108416,0.006891,113156.020268,1828.870107,0.019189,0.00122,0.012422,0.029288,3821.501998,0.005184,737045.589667,170216.650252,0.230945,27090.799824,117304.355955,120391.957211,272979.848025,63043.203797,756445.575882,280165.028104
6.463348,263.2,262.926695,1.000001,31,2069,588683.625,27945.625,41938300.875,40030,41882.125,0.000045,589346.560438,0.047471,0.034716,0.034702,2757.171891,2756.749604,422.107598,1.863819,423.971417,0.15369,95.746827,94.363497,0.114703,0.367943,0.006074,0.108471,0.006946,113195.859982,1868.70982,0.019198,0.001229,0.01242,0.029291,3821.027703,0.005184,736944.62521,164022.076446,0.22257,26104.903563,117288.286976,120158.263352,272942.453782,60748.917202,754977.232894,279621.197368
