	Time     	Sample     	Program     	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static     	Static     	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage     	Loss Modulus	Tan Delta     	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
	          	Temperature	Temperature	          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     	Modulus     	          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
	398.379352	364.212500	347.058561	1.000001	31.000000	2069.000000	607864.125000	21115.875000	41531544.125000	39600.250000	41508.625000	0.000045	608230.774163	0.034738	0.021994	0.021990	2671.567832	2672.085608	331.890953	1.863819	333.754771	0.124817	58.795073	57.408453	0.114703	0.398654	0.036785	0.121337	0.019812	122643.984912	11316.834750	0.021475	0.003506	0.010087	0.030241	3103.192716	0.005352	580130.582408	99787.036256	0.172008	15881.587496	92330.576688	93686.499630	214863.178670	36958.161576	588650.104264	218018.557135 
	398.508052	364.537500	347.315962	1.000001	31.000000	2069.000000	608854.375000	20975.375000	41531660.875000	39594.875000	41516.250000	0.000045	609215.574582	0.034451	0.021707	0.021703	2667.249228	2667.781034	327.588035	1.863819	329.451853	0.123407	57.934188	56.547569	0.114703	0.398645	0.036777	0.121333	0.019808	122641.264434	11314.114273	0.021475	0.003506	0.009973	0.030290	3068.124069	0.005361	572651.275379	98290.652848	0.171641	15643.430868	91140.208946	92472.993983	212093.064955	36403.945499	581025.417370	215194.599026 
	398.638572	364.800000	347.577001	1.000001	31.000000	2069.000000	609186.750000	20708.750000	41530902.750000	39600.875000	41510.875000	0.000045	609538.635939	0.033994	0.021251	0.021247	2665.835560	2666.392616	326.188865	1.863819	328.052683	0.122946	56.687228	55.300603	0.114703	0.398703	0.036834	0.121357	0.019832	122658.930151	11331.779989	0.021479	0.003510	0.009936	0.030306	3056.683566	0.005364	570219.246380	96123.184006	0.168572	15298.467761	90753.139816	92033.556393	211192.313474	35601.179261	578264.347375	214171.980509 
	398.767012	365.062500	347.833882	1.000001	31.000000	2069.000000	609494.500000	20806.000000	41530627.750000	39602.250000	41509.750000	0.000045	609849.518460	0.034136	0.021393	0.021390	2664.476599	2665.024688	324.817036	1.863819	326.680855	0.122495	57.037515	55.650887	0.114703	0.398724	0.036855	0.121365	0.019841	122665.338213	11338.188051	0.021481	0.003512	0.009899	0.030321	3045.462645	0.005367	567834.742511	96732.045481	0.170352	15395.370998	90373.634539	91675.576180	210309.163893	35826.683511	576015.089581	213338.922067 
	398.896492	365.237500	348.092843	1.000001	31.000000	2069.000000	609950.250000	20791.250000	41530268.250000	39594.500000	41514.500000	0.000045	610304.500681	0.034087	0.021343	0.021340	2662.490231	2663.039876	322.827126	1.863819	324.690944	0.121840	56.862729	55.476099	0.114703	0.398751	0.036882	0.121377	0.019852	122673.715341	11346.565179	0.021483	0.003514	0.009846	0.030344	3029.166257	0.005371	564375.891495	96428.229539	0.170858	15347.017227	89823.141739	91124.792069	209028.107961	35714.159088	572554.408203	212057.188223 
	399.028832	365.550000	348.357522	1.000001	31.000000	2069.000000	610522.875000	20410.625000	41529916.875000	39596.250000	41510.625000	0.000045	610863.957450	0.033431	0.020688	0.020685	2660.051802	2660.636539	320.418805	1.863819	322.282623	0.121045	55.068035	53.681402	0.114703	0.398778	0.036909	0.121388	0.019863	122681.903185	11354.753023	0.021485	0.003516	0.009782	0.030372	3009.412139	0.005376	560189.762324	93308.697777	0.166566	14850.528721	89156.899117	90385.235870	207477.689750	34558.776954	567907.635883	210336.161438 
	399.158832	365.787500	348.617522	1.000001	31.000000	2069.000000	610894.625000	20809.375000	41529651.625000	39592.000000	41511.500000	0.000045	611248.945146	0.034064	0.021320	0.021317	2658.376401	2658.924719	318.703222	1.863819	320.567041	0.120478	56.713618	55.326982	0.114703	0.398798	0.036929	0.121396	0.019872	122688.084149	11360.933987	0.021486	0.003517	0.009736	0.030391	2995.318164	0.005379	557207.746395	96169.035213	0.172591	15305.765202	88682.296917	89993.423287	206373.239405	35618.161190	565445.802863	209424.371431 
	399.289353	366.025000	348.878564	1.000001	31.000000	2069.000000	611151.875000	20891.375000	41528979.875000	39592.250000	41515.625000	0.000045	611508.842017	0.034184	0.021440	0.021437	2657.246566	2657.787351	317.556325	1.863819	319.420143	0.120099	57.007755	55.621114	0.114703	0.398848	0.036980	0.121418	0.019893	122703.737661	11376.587499	0.021490	0.003521	0.009706	0.030404	2985.878099	0.005381	555214.216160	96680.294024	0.174132	15387.134504	88365.016977	89694.705159	205634.894874	35807.516305	563568.900028	208729.222232 
	399.421953	366.300000	349.143764	1.000001	31.000000	2069.000000	611531.875000	20323.375000	41528949.375000	39594.000000	41509.125000	0.000045	611869.490751	0.033234	0.020491	0.020488	2655.680329	2656.273034	316.041574	1.863819	317.905393	0.119597	54.452313	53.065672	0.114703	0.398851	0.036982	0.121419	0.019894	122704.448394	11377.298232	0.021490	0.003521	0.009665	0.030423	2973.411465	0.005385	552581.285776	92238.438745	0.166923	14680.191840	87945.973424	89162.785252	204659.735473	34162.384720	560226.746034	207491.387420 
	399.555333	366.625000	349.410524	1.000001	31.000000	2069.000000	612109.625000	20380.375000	41528318.625000	39597.000000	41507.000000	0.000045	612448.816394	0.033295	0.020552	0.020549	2653.168277	2653.755969	313.515561	1.863819	315.379379	0.118759	54.564527	53.177880	0.114703	0.398899	0.037030	0.121439	0.019914	122719.146660	11391.996498	0.021494	0.003525	0.009597	0.030451	2952.581206	0.005390	548190.583877	92433.479227	0.168616	14711.233472	87247.172066	88478.751256	203033.549584	34234.621936	555928.830277	205899.566769 
