Filename:	P:\+Courses\MatSci\Spring2016\Emily_Adam\DMA\Nomex 1 Temperature Scan.dm8d 
Operator ID:	Adam 
Sample ID:	Nomex #1 
Comment: 	Temperature Scan at .010 mm 
Serial Number:	3066274 
Data Collected:	2/22/2016 6:21:24 PM 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\2_16_16 Tension.dm8c 
Date/Time:	 
Initial Conditions 
Temperature:	 
Measuring System:	Tension - Rectangle 
Clamp Mass	9.343 g 
Length:	5.650 mm 
Width:	5.910 mm 
Thickness:	0.550 mm 
End Condition:	Go To Load 
Total Points in Run:	1288 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 27.00°C to 400.00°C at 2.00°C/min 
 
1) DMA8000 Temperature Scan 
	Time     	Sample     	Program     	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static     	Static     	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage     	Loss Modulus	Tan Delta     	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
	          	Temperature	Temperature	          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     	Modulus     	          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
	2.539496	29.025000	32.078991	1.000001	332.000000	2296.000000	986442.875000	223777.125000	43699045.875000	40899.125000	44022.500000	0.000044	1011506.671907	0.226853	0.213502	0.210344	17204.507056	16869.492628	14553.848671	1.863819	14555.712490	0.862747	3612.029475	3610.657403	1.298232	1.420445	0.045090	0.052777	0.014184	436992.781031	13871.605726	0.009341	0.002510	0.746697	0.049081	229717.621317	0.008687	25300653.920008	6276023.480877	0.248058	998859.368682	4026720.945003	4148759.044260	9370612.562966	2324453.141066	26067442.519598	9654608.340592 
	2.671056	29.500000	32.342111	1.000001	332.000000	2296.000000	986552.750000	223610.500000	43700328.750000	40898.125000	44021.000000	0.000044	1011576.978901	0.226658	0.213309	0.210159	17203.311302	16868.987434	14553.354303	1.863819	14555.218121	0.862744	3608.653800	3607.281734	1.298232	1.420350	0.044995	0.052737	0.014225	436963.697725	13842.522421	0.009334	0.002518	0.746694	0.049086	229716.697826	0.008688	25299794.611271	6270155.912877	0.247834	997925.516970	4026584.181878	4148401.560984	9370294.300471	2322279.967732	26065196.384149	9653776.438574 
	2.801837	30.025000	32.603673	1.000001	332.000000	2296.000000	986280.375000	223739.625000	43701624.625000	40892.875000	44021.125000	0.000044	1011339.902261	0.226852	0.213501	0.210343	17207.344074	16872.283937	14556.661737	1.863819	14558.525555	0.862771	3612.617995	3611.245935	1.298232	1.420255	0.044900	0.052696	0.014266	436934.320051	13813.144747	0.009327	0.002525	0.746718	0.049072	229724.009929	0.008685	25305543.573826	6277046.464006	0.248050	999022.181375	4027499.156962	4149553.563723	9372423.545862	2324832.023706	26072434.636568	9656457.272803 
	2.935216	30.562500	32.870432	1.000001	332.000000	2296.000000	986297.875000	223206.875000	43703171.125000	40903.750000	44020.500000	0.000044	1011239.243343	0.226308	0.212960	0.209825	17209.056895	16875.845926	14560.236764	1.863819	14562.100582	0.862801	3604.222122	3602.850069	1.298232	1.420141	0.044786	0.052647	0.014315	436899.261129	13778.085824	0.009318	0.002534	0.746744	0.049073	229731.927074	0.008685	25311757.665319	6262452.820386	0.247413	996699.532695	4028488.159556	4149955.037125	9374725.061229	2319426.970513	26074957.170346	9657391.544573 
	3.067556	31.137500	33.135112	1.000001	332.000000	2296.000000	986338.000000	223168.750000	43704298.750000	40902.625000	44028.750000	0.000044	1011269.964560	0.226260	0.212912	0.209780	17208.534104	16875.496884	14559.897226	1.863819	14561.761045	0.862798	3603.341701	3601.969654	1.298232	1.420058	0.044703	0.052611	0.014350	436873.698352	13752.523048	0.009312	0.002540	0.746742	0.049075	229731.321499	0.008686	25311167.482467	6260922.487508	0.247358	996455.972845	4028394.229112	4149805.365432	9374506.474988	2318860.180558	26074016.754618	9657043.242451 
	3.196776	31.550000	33.393553	1.000001	332.000000	2296.000000	986470.875000	222838.375000	43705200.125000	40904.250000	44023.375000	0.000044	1011326.717039	0.225895	0.212549	0.209432	17207.568415	16875.805772	14560.213708	1.863819	14562.077526	0.862801	3597.256890	3595.884848	1.298232	1.419992	0.044636	0.052583	0.014379	436853.264757	13732.089452	0.009307	0.002545	0.746744	0.049081	229732.109889	0.008687	25311717.588701	6250345.913582	0.246935	994772.660158	4028481.781169	4149486.487098	9374710.218037	2314942.930956	26072013.181371	9656301.178286 
	3.330936	31.987500	33.661873	1.000001	332.000000	2296.000000	986190.375000	222786.875000	43707102.875000	40906.500000	44027.000000	0.000044	1011041.763438	0.225907	0.212561	0.209444	17212.418223	16880.533166	14564.957125	1.863819	14566.820944	0.862841	3598.470044	3597.098012	1.298232	1.419851	0.044496	0.052522	0.014439	436810.131182	13688.955878	0.009296	0.002556	0.746778	0.049067	229742.591955	0.008684	25319962.569408	6252454.627311	0.246938	995108.272105	4029794.009565	4150840.906701	9377763.914596	2315723.936041	26080523.257458	9659453.058318 
	3.459898	32.375000	33.919795	1.000001	332.000000	2296.000000	985743.875000	222545.625000	43708648.375000	40908.875000	44023.875000	0.000044	1010553.087327	0.225764	0.212419	0.209308	17220.741683	16889.207972	14573.644939	1.863819	14575.508757	0.862912	3597.925246	3596.553221	1.298232	1.419737	0.044382	0.052473	0.014488	436775.096685	13653.921381	0.009287	0.002564	0.746840	0.049045	229761.552920	0.008681	25335063.675807	6251507.675215	0.246753	994957.560118	4032197.423391	4153138.163803	9383356.916966	2315373.213043	26094957.360963	9664799.022579 
	3.588077	32.762500	34.176154	1.000001	332.000000	2296.000000	985432.750000	222884.500000	43709872.000000	40910.750000	44023.750000	0.000044	1010324.306900	0.226179	0.212832	0.209703	17224.641192	16891.611823	14576.059084	1.863819	14577.922903	0.862932	3605.434378	3604.062360	1.298232	1.419647	0.044292	0.052435	0.014527	436747.359031	13626.183727	0.009280	0.002571	0.746857	0.049030	229766.909131	0.008678	25339259.929210	6264560.015866	0.247227	997034.903006	4032865.277333	4154284.648761	9384911.084893	2320207.413284	26102160.944115	9667467.016339 
	3.722246	33.225000	34.444492	1.000001	332.000000	2296.000000	985229.875000	223110.625000	43711955.625000	40906.375000	44030.125000	0.000044	1010176.349743	0.226455	0.213107	0.209966	17227.164027	16893.139522	14577.604303	1.863819	14579.468121	0.862946	3610.413921	3609.041913	1.298232	1.419494	0.044138	0.052369	0.014593	436700.127244	13578.951940	0.009269	0.002583	0.746869	0.049020	229770.485333	0.008676	25341945.819409	6273215.445651	0.247543	998412.456349	4033292.749696	4155030.425610	9385905.859040	2323413.128019	26106846.801968	9669202.519247 
